location,size,total_sqft,bath,balcony,price
Kattigenahalli,7,2800,7,2,12500000
Ulsoor,2,1275,2,2,12000000
Kathriguppe,3,1245,2,2,6848000
Rustam Bagh Layout,2,1170,2,2,8600000
Panathur,2,1193,2,1,8600000
Chandapura,2,850,2,1,2540000
Marathahalli,3,1678,3,3,7000000
Gunjur,3,1600,3,3,7500000
Electronics City Phase 1,3,1750,3,2,8400000
Whitefield,2,1125,2,2,6200000
Andrahalli,4,2200,4,3,23500000
HBR Layout,3,2800,2,0,20000000
R.T. Nagar,2,1200,2,1,12000000
Vittal Nagar,2,1000,2,1,5000000
Sadashiva Nagar,4,2780,5,2,48000000
Electronic City Phase II,3,1320,2,1,3813000
2Electronic City Phase II,2,8000,27,0,23000000
Ardendale,4,2422,4,2,16000000
Kasavanhalli,2,1100,2,1,5000000
Uttarahalli,2,882,2,1,3000000
Bisuvanahalli,2,845,2,1,3700000
Kambipura,2,883,2,1,3900000
Brookefield,3,1595,3,3,8800000
Whitefield,2,1280,2,0,8500000
3rd Block Banashankari,4,1700,2,1,55000000
Bhuvaneshwari Nagar,2,920,2,0,3500000
Choodasandra,2,1300,2,3,5700000
Shanthala Nagar,2,1450,1,0,23000000
Harlur,3,1757,3,2,13200000
Anekal,1,600,1,1,1650000
Jnanabharathi Layout,4,2400,3,2,14200000
Sarjapur,2,1240,2,1,4400000
Kadarenahalli,1,750,10,2,9000000
EPIP Zone,2,1330,2,1,9336000
8th Phase JP Nagar,2,1062,2,1,4247000
JP Nagar,2,1078,2,2,4500000
Bannerghatta Road,3,1460,2,2,7200000
Whitefield,3,1200,3,2,6850000
Laggere,1,1200,1,1,4800000
Kammasandra,3,912,2,1,3900000
Victoria Layout,5,2400,5,1,62500000
Prithvi Layout,4,2028,4,3,16200000
Mysore Road,2,980,2,1,4547000
Sarjapur  Road,2,1000,2,2,4000000
Sarjapur  Road,2,1050,2,1,6200000
Bannerghatta,3,2611,3,1,23900000
Domlur,3,1875,2,2,15000000
Hennur Road,2,1065,2,1,4260000
Sanjay nagar,3,1800,3,2,18000000
Sector 7 HSR Layout,2,1163,2,2,9886000
Tumkur Road,2,1098,2,1,7200000
5th Phase JP Nagar,3,1725,2,2,10000000
Whitefield,4,4000,4,2,33000000
Thubarahalli,2,1128,2,2,7500000
Subramanyanagar,8,1320,6,2,20000000
Yelahanka,3,1705,3,1,7416000
Thigalarapalya,2,1418,2,2,9500000
Ramamurthy Nagar,3,1500,3,1,16000000
Hebbal,2,1100,2,2,5000000
KUDLU MAIN ROAD,3,1464,3,2,5600000
Hebbal,2,812,2,2,5500000
Doddanekundi,2,1280,2,2,4000000
Whitefield,2,1420,2,2,13600000
1 Ramamurthy Nagar,1,1200,11,0,17000000
Kadugondanahalli,6,727,6,2,6600000
Banashankari Stage II,4,1200,2,1,15000000
Old Airport Road,4,2774,4,2,20700000
5th Stage BEML Layout,3,2000,3,2,8500000
HBR Layout,3,1722,3,2,9500000
Indira Nagar,3,2800,3,1,33000000
Jaya Mahal layout,3,1650,3,3,17500000
BSM Extension,2,840,2,2,2700000
Jigani,2,914,2,2,4700000
Hennur Road,3,1482,2,2,8373000
Kundalahalli,3,1724,3,2,12700000
Vijinapura,3,1670,3,3,9186000
Banaswadi,2,1184,2,3,5300000
Kodigehaali,2,1200,2,1,5500000
TC Palaya,2,1200,2,0,6500000
Jigani,2,927,2,2,5500000
P&T Layout,2,1242,2,3,3970000
Electronic City Phase II,3,1220,3,1,3522999
Electronic City,3,1360,2,1,7500000
Brookefield,4,2800,4,2,24000000
7th Phase JP Nagar,2,1180,2,2,7200000
Whitefield,3,1697,3,2,10800000
Yelahanka New Town,2,550,2,1,2600000
Hennur,2,1225,2,1,5700000
Byrasandra,3,1690,2,2,5500000
SBM Colony,1,1660,10,2,47500000
Veerannapalya,3,1488,3,2,5700000
Chowdeshwari Layout,3,1250,2,1,8000000
JP Nagar,1,1050,1,1,4400000
HSR Layout,2,1027,2,2,4400000
Kanakpura Road,3,1699,3,3,8194000
Whitefield,2,1205,2,2,5800000
Mathikere Extension,4,712,2,1,6750000
Horamavu Agara,2,950,2,3,3900000
TC Palaya,2,1200,2,0,7000000
Akshaya Nagar,3,1476,3,1,12000000
CV Raman Nagar,2,1070,2,1,5500000
EPIP Zone,3,2160,4,2,17200000
Sector 2 HSR Layout,2,1296,2,1,7500000
Chikkalasandra,2,1800,1,1,12800000
Kanakpura Road,3,1570,3,3,6450000
Koramangala,2,1300,2,3,11000000
Sarjapur,4,1550,2,2,6500000
Electronic City,2,770,1,1,4000000
Jalahalli,3,1870,3,2,11000000
Anantapura,3,1650,4,2,16000000
Domlur,3,1429,3,3,8600000
Babusapalaya,3,1167,2,2,3997999
Bommasandra,2,1035,2,1,4172999
Kengeri,3,1188,2,2,3800000
2nd Stage Nagarbhavi,5,1200,4,2,28500000
Nagarbhavi,1,884,2,2,3600000
Haralur Road,2,1194,2,2,4600000
Hoodi,2,1026,2,1,6087000
Shivaji Nagar,7,1400,6,3,20000000
Kaikondrahalli,2,1115,2,2,5000000
Hebbal Kempapura,2,1200,2,1,12500000
Old Airport Road,4,2690,4,3,19100000
Subramanyapura,2,975,2,1,5800000
Hosa Road,3,675,3,2,7250000
Chamrajpet,4,1900,2,1,17000000
Banashankari,3,600,3,1,10000000
OMBR Layout,2,1101,2,2,6550000
Sarjapur  Road,3,1700,3,3,13500000
Whitefield,4,3606,4,2,31200000
Padmanabhanagar,2,1258,2,2,11500000
Kanakpura Road,3,1560,3,2,9200000
Old Madras Road,4,3630,6,1,19500000
JP Nagar,3,2000,3,2,25000000
Hebbal,4,2790,4,3,19800000
Badavala Nagar,3,1494,2,2,9455000
Hennur Road,3,1482,2,1,8700000
Rustam Bagh Layout,2,800,2,3,5000000
Raja Rajeshwari Nagar,2,1185,2,2,4739000
Hulimavu,2,1100,2,2,7150000
NRI Layout,2,1300,2,0,12000000
4th Block Koramangala,2,1225,2,2,15000000
Hulimavu,3,1758,3,2,6500000
Banaswadi,2,1145,2,2,5500000
Hormavu,2,1180,2,2,5000000
Belatur,2,1260,2,2,5800000
Arekere,2,1190,2,2,5500000
Sarjapur  Road,3,1691,3,2,11900000
Lalbagh Road,4,3675,4,3,36700000
Frazer Town,3,1305,3,2,9545000
Basavangudi,3,2337,4,3,29200000
Kamakya Layout,2,1200,2,2,15000000
Domlur,2,1206,2,1,21700000
Vignana Nagar,5,1350,4,1,13000000
Kogilu,2,1140,2,1,5066000
Nallurhalli,2,1250,2,2,6500000
Kamakshipalya,3,600,2,1,6000000
Chinnapanahalli,2,1225,2,2,4800000
Kereguddadahalli,2,800,2,2,2800000
Jalahalli East,2,1020,2,1,5800000
TC Palaya,4,2100,2,1,5000000
Lingarajapuram,2,1350,2,1,8000000
Anekal,2,925,2,1,4000000
Yelachenahalli,4,1800,3,1,22000000
3rd Block HBR Layout,3,2000,3,1,10000000
Frazer Town,3,1510,2,1,7500000
Kasavanhalli,5,5800,7,2,120000000
Laxmi Sagar Layout,3,1614,3,1,11000000
Yeshwanthpur,3,682,2,1,13000000
Gottigere,2,1200,2,0,9500000
TC Palaya,2,900,2,0,5500000
Bommenahalli,4,1632,3,0,14500000
OMBR Layout,2,1041,2,2,6550000
7th Phase JP Nagar,6,5080,7,2,45000000
Bannerghatta,4,3012,6,2,25000000
Marathahalli,3,1530,3,2,7450000
Sector 2 HSR Layout,3,1450,2,2,13500000
Bannerghatta Road,2,1200,2,2,7500000
Sahakara Nagar,4,1200,4,2,13000000
Hosur Road,3,1508,2,1,11000000
New Gurappana Palya,7,600,7,3,10600000
Dodda Nekkundi Extension,2,1188,2,3,7300000
Old Airport Road,4,2690,4,3,19900000
Harlur,2,1174,2,1,7600000
Old Madras Road,3,1350,3,1,5899000
Frazer Town,3,1870,3,3,18500000
Kengeri Satellite Town,2,1072,2,1,2500000
Nelamangala,3,52272,2,1,14000000
Kengeri,2,726,2,1,3100000
Hosur Road,2,1345,2,2,10600000
Begur Road,2,1200,2,2,4500000
Nagavarapalya,2,980,2,0,3700000
Hormavu,2,1050,2,1,7700000
Uttarahalli,2,993,2,1,3971000
7th Phase JP Nagar,3,1300,2,2,5200000
Vittasandra,3,1743,3,2,8500000
Whitefield,4,1204,4,1,12500000
Hormavu,2,1200,2,0,6700000
2nd Block Hrbr Layout,3,1480,3,2,9000000
Sarjapur,2,950,2,2,3250000
Domlur,1,640,1,0,5500000
Electronic City Phase II,2,972,2,1,4400000
Marathahalli,3,1840,3,3,9800000
Electronic City,2,1128,2,1,6400000
Hongasandra,2,680,2,0,4200000
Harappanahalli,2,2400,2,1,9500000
Basapura,2,1045,2,2,4200000
Roopena Agrahara,2,955,2,3,5355000
Doddakallasandra,3,1360,2,2,5439000
BTM Layout,2,1150,2,2,6300000
Hennur Road,4,3450,4,3,29400000
Chennammana Kere,2,1115,2,2,5687000
Jigani,2,920,2,2,4600000
Bommasandra Industrial Area,2,1030,2,1,4100000
Thanisandra,3,1564,3,1,10100000
Uttarahalli,2,1045,2,1,4500000
Hegde Nagar,4,1200,4,1,8300000
Subramanyapura,2,1277,2,2,5500000
Kanaka Nagar,3,2479,3,1,21500000
Sarjapur  Road,3,1846,3,2,14000000
Tasker Town,2,1100,2,0,10600000
Govindpura,3,1690,3,2,7500000
Hormavu,2,1200,3,0,7000000
Yelahanka,4,3042,4,0,13100000
Rajaji Nagar,3,1640,3,3,22300000
NR Colony,2,1068,2,1,4004999
Kanakpura Road,2,1135,2,2,5800000
Agara Village,3,1925,3,2,12000000
Begur Road,3,1615,3,2,6000000
Shettigere,1,650,1,1,2600000
Chikkasandra,9,1200,9,3,12000000
Kaggadasapura,2,1150,2,3,4200000
Kothannur,6,930,6,1,13500000
Kenchanehalli R R Nagar,3,1410,2,2,4512000
6th Phase JP Nagar,3,600,2,0,10000000
Kumara Park,3,2000,3,3,20700000
Tumkur Road,3,1354,3,1,9000000
BEL Road,2,1050,2,0,11000000
Arekere,1,600,1,1,2800000
Varthur,4,1320,2,1,11000000
Koramangala,3,1600,3,2,8800000
Kanakpura Road,4,3500,6,2,22500000
GM Palaya,2,1000,2,1,3600000
Byagadadhenahalli,3,1130,3,1,3800000
Vittasandra,2,1238,2,1,6700000
Ashwathnagar,3,2204,2,3,30500000
KR Puram,8,1200,12,2,11000000
Kudlu Gate,3,1364,2,3,4638000
Srinivasa Nagar,2,900,2,1,4500000
Gubbalala,3,1745,3,2,10400000
Kogilu,2,1200,2,1,5333000
Kanakapura,2,1020,2,1,4283000
Banashankari Stage III,3,1650,3,2,11800000
Doddabommasandra,3,1550,2,3,7000000
5th Phase JP Nagar,2,1440,2,2,6000000
Sarjapura - Attibele Road,3,1329,2,2,4595000
Maruthi Layout,2,916,2,1,4200000
Hulimavu,1,688,1,2,5000000
Sree Narayana Nagar,3,1358,3,3,5000000
Kanakpura Road,2,1331,2,1,10700000
Malleshwaram,1,686,1,1,6250000
Hoodi,2,1050,2,2,5000000
Talaghattapura,3,2106,3,2,12600000
Bhoganhalli,3,1718,3,2,9020000
Raja Rajeshwari Nagar,3,1530,3,2,5700000
5th Block Hbr Layout,2,1206,2,2,5600000
Hebbal,2,1075,2,3,5200000
Sarjapur  Road,3,1200,3,1,9500000
Tunganagara,3,1936,2,2,5421000
Nagavara,4,2173,3,3,12000000
Sahakara Nagar,3,1100,2,2,7500000
BTM 2nd Stage,3,1260,5,1,18500000
Hongasandra,8,990,12,0,12000000
Jalahalli East,3,800,2,1,8000000
Sarjapur  Road,2,1117,2,3,2999000
Remco Bhel Layout,3,1685,2,1,11000000
CV Raman Nagar,2,740,2,1,3700000
Chamrajpet,4,1080,4,2,25000000
Magadi Road,4,1500,2,2,9300000
Banashankari,3,1800,3,2,11500000
Yelachenahalli,3,1700,3,2,13000000
Uttarahalli,2,850,2,2,3793000
Hennur Road,3,1891,3,1,13900000
Jalahalli,2,1400,1,1,8000000
Lakshminarayana Pura,2,1172,2,2,8200000
Electronic City Phase II,3,1400,2,2,4043000
Sonnenahalli,2,896,2,1,4375000
Vijayanagar,2,1180,2,2,6500000
Basaveshwara Nagar,7,2460,7,1,35000000
Chokkasandra,2,850,2,1,3300000
Anekal,1,530,1,1,1800000
2nd Block Hrbr Layout,3,1550,3,3,11000000
Kanakapura,3,1699,3,3,9700000
Bellandur,4,2025,4,3,10900000
Ananth Nagar,1,500,2,2,1400000
Panduranga Nagar,1,500,1,0,2000000
Sri Venkateshpura Layout,2,1146,2,1,3850000
Malleshwaram,3,2475,4,3,33200000
Haralur Road,2,1455,2,1,14500000
Seegehalli,2,800,1,0,5000000
Abbigere,1,765,2,2,3000000
Lingadheeranahalli,3,1521,3,1,9499000
Gottigere,3,1600,2,2,5500000
Byadarahalli,3,3155,4,2,37000000
Hebbal Kempapura,3,2900,4,2,24000000
Jakkur Plantation,3,1765,3,3,10500000
Kasavanhalli,3,1980,3,2,8800000
Amruthahalli,3,1900,3,1,13500000
Kaverappa Layout,2,1265,2,3,7000000
Bommasandra,2,1034,2,3,4000000
Kaverappa Layout,2,1012,2,1,5900000
Electronic City,2,1070,2,1,5400000
Mahadevpura,4,3555,4,1,23000000
5th Block Hbr Layout,3,1270,2,2,7000000
Yeshwanthpur,2,585,1,0,7000000
Doddanekundi,3,2045,4,3,15400000
Bellandur,3,1490,2,2,9800000
Banaswadi,7,6150,6,1,83000000
Mysore Road,2,883,2,1,4000000
Yeshwanthpur,1,671,1,1,3685000
Kammasandra,2,1156,2,2,3200000
Haralur Road,3,2017,3,2,12500000
Thigalarapalya,4,3122,6,2,23500000
Ramagondanahalli,3,1635,3,1,6200000
Sir M V Nagar,7,4400,9,2,12000000
Kanakpura Road,2,1296,2,1,8900000
Bikasipura,6,2400,4,2,28000000
Budigere,2,1139,2,2,6200000
CV Raman Nagar,2,1230,3,2,4700000
Basaveshwara Nagar Yelahanka,1,582,2,1,2500000
Binny Pete,2,1245,2,1,8628000
Sidedahalli,3,1158,2,2,8500000
Marathahalli,4,3951,4,2,22000000
Electronic City,2,550,1,1,1500000
Ramamurthy Nagar,1,360,1,1,2600000
Electronics City Phase 1,3,1350,3,1,5500000
Green Glen Layout,3,1670,3,2,12000000
Akshaya Nagar,3,1600,2,2,6500000
Horamavu Banaswadi,2,1307,2,2,5160000
7th Phase JP Nagar,3,1050,2,1,5700000
Hennur Road,3,1703,3,2,10100000
Kaggalipura,3,1210,2,1,5800000
Electronic City,2,1025,2,1,2960000
Haralur Road,2,1140,2,2,4300000
7th Phase JP Nagar,3,1343,2,2,5641000
R.T. Nagar,3,1560,3,2,8500000
Kalkere,2,925,2,2,5100000
Kanakpura Road,3,1420,2,2,7500000
1st Block Koramangala,2,1415,2,3,11000000
Shree Ananth Nagar Layout,2,1210,2,2,6000000
Yeshwanthpur,3,1852,3,2,16000000
Hoskote,3,1250,3,2,5000000
9th Phase JP Nagar,2,1100,2,1,6500000
2nd Phase Judicial Layout,2,1150,2,1,4025000
Jakkur,2,1100,2,1,5335000
Magadi Road,2,1350,1,0,10000000
Panathur,3,1546,3,2,9900000
Ambedkar Nagar,2,1424,2,2,9000000
Bellandur,3,1398,3,1,6800000
Indira Nagar,3,1650,3,2,20000000
HBR Layout,4,1200,4,0,12000000
Brookefield,3,1476,3,2,10500000
Attiguppe,2,500,2,1,7000000
Magadi Road,3,1322,2,2,5882000
Srirampuram,2,432,2,1,4000000
Yemlur,2,1100,2,2,5500000
Race Course Road,4,4750,5,2,60000000
Sarjapur,3,1285,2,2,6800000
Ambalipura,2,1150,2,2,8000000
Thanisandra,3,1430,2,2,5600000
Marathahalli,3,1350,2,2,6200000
Gkvk Layout,3,1350,3,3,19500000
Thubarahalli,2,1185,2,2,6500000
Bannerghatta Road,3,1760,3,2,6700000
Bank Of Baroda Colony,4,2400,5,2,35000000
Kanakpura Road,2,900,2,1,4100000
Kanakpura Road,2,1297,2,1,10500000
Sector 1 HSR Layout,3,1840,3,2,15500000
Ramamurthy Nagar,2,950,2,1,5079000
Chikkabanavar,5,1200,4,1,7000000
BTM 2nd Stage,2,950,2,1,5200000
Electronic City,3,1571,3,2,8900000
Electronic City Phase II,2,1031,2,1,5500000
Whitefield,2,1485,2,1,9000000
Ananth Nagar,2,1109,2,1,6000000
Koramangala,3,2200,3,2,18000000
Whitefield,1,950,1,1,5000000
Laggere,3,1200,2,0,15000000
Hosa Road,2,1161,2,1,5515000
Basavangudi,3,2350,3,3,30000000
Electronic City Phase II,2,1003,2,1,4060000
Bank Of Baroda Colony,2,1350,2,1,18500000
9th Phase JP Nagar,2,1080,2,2,3700000
Hulimavu,2,1255,2,2,7300000
Banaswadi,2,1250,2,0,6000000
Brookefield,4,1700,4,1,15200000
Ramamurthy Nagar,3,1200,2,0,6600000
St. John's Road,2,824,2,0,6000000
1st Phase JP Nagar,3,1875,3,1,16700000
Bommasandra Industrial Area,3,1320,2,1,3811999
Kothanur,5,9600,5,2,55000000
Uttarahalli,3,1330,2,1,4700000
Kaikondrahalli,3,1220,3,2,5600000
Electronic City,3,1111,3,1,5000000
Kothannur,2,1197,2,1,4788000
Marathahalli,4,2519,5,2,18500000
Doopanahalli,3,1340,2,1,10000000
Old Madras Road,4,1450,3,3,13200000
Hoodi,3,1837,3,3,14500000
Haralur Road,4,1200,4,2,24500000
Kudlu Gate,2,1238,2,3,5500000
7th Phase JP Nagar,3,1405,2,2,5901000
Doddaballapur,4,1690,3,2,8000000
Sathanur,3,1620,2,1,11000000
Kanakpura Road,3,1673,3,2,11500000
Margondanahalli,2,1090,2,0,5800000
Varthur,2,1112,2,2,4000000
Marathahalli,3,1385,2,2,6665000
Electronic City Phase II,2,545,1,1,2700000
Subramanyapura,2,985,2,1,5800000
Kanakpura Road,2,1080,2,1,3779999
Hosa Road,2,1430,2,1,9752000
Kengeri Satellite Town,2,1050,2,2,4300000
Kumaraswami Layout,4,2000,4,1,13900000
Banashankari Stage VI,4,4800,4,3,19000000
ITI Layout,3,1533,3,2,11500000
Ramamohanapuram,4,2800,3,2,50000000
Malleshwaram,3,2610,3,2,39900000
Lakshminarayana Pura,3,1750,3,2,15000000
TC Palaya,3,1200,2,0,6600000
Prithvi Layout,2,1352,2,2,8750000
Harlur,3,1754,3,2,12500000
Tejaswini Nagar,3,1560,3,2,8500000
Bannerghatta,4,3012,6,2,26800000
Whitefield,4,3584,4,2,19900000
Channasandra,3,1470,2,1,9000000
9th Phase JP Nagar,2,1035,2,1,4500000
Whitefield,4,2400,5,2,32900000
Kammanahalli,2,1160,2,1,5200000
Jakkur,2,1100,2,2,5200000
Horamavu Agara,2,1170,2,2,3800000
Bannerghatta Road,1,595,1,1,3183000
HSR Layout,3,1650,3,2,11000000
1st Block Jayanagar,3,1875,2,3,23500000
Kamakshipalya,4,800,4,1,8000000
kanakapura road,3,1375,2,3,4806000
Ramagondanahalli,2,1235,2,1,4680000
Kaveri Nagar,1,750,1,2,2500000
7th Phase JP Nagar,3,1400,3,1,11500000
Poorna Pragna Layout,3,1270,2,2,5079000
Bannerghatta Road,2,1105,2,1,5100000
Sundar Ram Shetty Nagar,3,1375,2,3,8500000
Attibele,4,2168,4,2,9500000
Gottigere,8,1200,8,3,9000000
Yelahanka,2,1065,2,1,4084000
Sector 6 HSR Layout,3,3800,3,0,58000000
Raja Rajeshwari Nagar,9,3125,9,2,35000000
Whitefield,1,825,1,1,4500000
Nelamangala,2,1095,2,0,4000000
Ganga Nagar,3,720,3,3,6500000
Udayapur Village,3,1440,2,2,6033000
Electronic City,2,870,2,1,3950000
Panathur,2,1195,2,1,8400000
"Kirloskar layout, Basaveshwarnagar",2,1200,2,1,4950000
Raja Rajeshwari Nagar,3,1530,3,3,6120000
Padmanabhanagar,3,1708,2,1,9050000
Alfa Garden Layout,2,975,2,1,4300000
KR Puram,2,750,2,1,2500000
Gowdanapalya,8,1200,8,2,19000000
Iblur Village,3,1920,3,2,13000000
Nagarbhavi,6,1200,5,2,24000000
Thanisandra,2,1183,2,1,5856000
Kothanur,4,1140,4,1,9000000
Mico Layout,3,1550,2,2,6500000
Kaggadasapura,2,1110,2,3,5300000
NS Palya,8,1500,10,3,16500000
Kaggadasapura,2,1105,2,1,3867000
Anekal,3,1800,3,2,6800000
2nd Phase JP Nagar,5,2800,4,2,20000000
Bommanahalli,2,1000,2,2,2990000
Prithvi Layout,2,1190,2,2,6800000
2nd Stage Nagarbhavi,4,1350,4,1,20000000
Hebbal,4,3067,4,2,23000000
Sarjapur  Road,3,1929,4,1,10300000
Ramamurthy Nagar,3,1525,3,1,10000000
Nehru Nagar,3,1775,3,3,11000000
Banashankari,2,1125,2,1,6300000
Hessarghatta,2,900,2,2,4200000
Sarjapur  Road,2,1155,2,1,5800000
Hulimavu,4,1200,4,0,7500000
Sonnenahalli,2,1268,2,1,7300000
Hoodi Layout,3,1500,3,2,8800000
Electronic City,1,630,1,1,4700000
Seegehalli,3,1525,3,2,6500000
Kaggadasapura,2,1060,2,2,4800000
Lingadheeranahalli,3,1687,3,3,12700000
Thanisandra,3,1847,3,2,12300000
Begur Road,3,1410,2,3,5300000
7th Phase JP Nagar,2,1075,2,1,4299000
Rajaji Nagar,4,3526,4,2,49200000
BTM Layout,3,3000,3,0,33800000
Basavangudi,3,1500,2,1,14300000
Gaundanapalya,2,1010,2,2,4600000
Haralur Road,3,1875,3,3,11000000
Arasanakunte,5,1200,6,2,13700000
Kanakpura Road,2,983,2,1,5060000
Kasturi Nagar,2,1101,2,2,6500000
Laxmi Sagar Layout,2,1140,2,1,7600000
Sarjapur  Road,2,1215,2,2,11000000
Kengeri Satellite Town,2,1007,2,3,4200000
Bellandur,3,2039,3,2,16800000
Ulsoor,3,1020,3,2,11000000
Outer Ring Road East,2,1198,2,1,8400000
5th block Koramangala,4,4000,4,1,52000000
Nelamangala,4,1470,4,2,3450000
JakkurYelahanka,2,1370,2,2,7500000
Yemlur,2,1316,2,3,5550000
Kaggadasapura,3,1350,3,1,5550000
Gunjur Palya,2,1050,2,1,4300000
Electronic City,2,921,2,1,3400000
Kundalahalli,2,1010,2,1,4927000
KR Puram,2,1015,2,1,4300000
TC Palaya,3,1200,2,0,6650000
Lakshminarayana Pura,2,1179,2,1,7500000
Anjanapura,4,1850,4,2,8600000
Kammasandra,2,870,2,1,2400000
Bellandur,3,1605,3,2,8500000
Banashankari Stage VI,4,2800,4,2,8900000
Malleshwaram,3,2475,4,3,32000000
Ngef Layout,2,3000,2,0,51000000
Bileshivale,6,2400,7,2,11000000
2nd Phase JP Nagar,2,1000,1,1,5500000
Ramamurthy Nagar,2,1200,2,0,8000000
Manjunatha Layout,2,1200,2,2,12500000
Kammasandra,2,1200,2,1,6600000
Kashi Nagar,2,1200,2,2,5000000
Hennur,2,1255,2,1,5750000
Hosur Road,2,1085,2,2,3038000
Kanakpura Road,3,1592,3,2,12500000
B Narayanapura,2,1313,2,1,5827000
Kogilu,3,1934,3,2,15000000
Harlur,2,1200,2,1,4950000
Uttarahalli,6,3600,6,2,12000000
Old Madras Road,2,935,2,1,4500000
Bommasandra,2,877,2,2,3000000
Ashwathnagar,2,936,2,2,4200000
Nagasandra,3,1470,2,2,11000000
Upkar Layout,1,1050,1,1,7000000
Hennur Road,2,1232,2,0,6961000
Ambedkar Nagar,3,2225,4,2,16900000
Sunkadakatte,3,1200,2,0,8000000
Dasarahalli,3,1901,3,2,11900000
Sarjapur  Road,3,1819,3,2,10000000
HOSUR MAIN ROAD,3,1464,3,2,5600000
Banashankari,2,2400,2,2,46000000
9th Phase JP Nagar,4,5000,4,3,29000000
Someshwara Layout,4,1200,4,3,16900000
Kacharakanahalli,2,1256,2,1,6000000
7th Phase JP Nagar,2,1100,2,2,4400000
TC Palaya,4,4800,3,3,30200000
Kothanur,3,1435,3,3,7000000
6th Phase JP Nagar,4,3245,4,2,25000000
Sarjapur  Road,3,1845,4,1,11000000
Jigani,3,2400,4,1,13000000
HSR Layout,2,1140,2,2,4600000
Ulsoor,2,1200,2,0,6000000
Talaghattapura,3,2254,3,2,17000000
Frazer Town,3,1750,3,2,15000000
Jalahalli West,2,1020,2,1,3700000
Bommanahalli,1,515,1,1,2500000
Lingadheeranahalli,3,1893,3,2,14000000
Vasanth nagar,3,3025,3,0,50000000
Suddaguntepalya,2,830,2,0,3400000
Singasandra,2,600,2,1,3650000
Bisuvanahalli,3,1075,2,1,9000000
Kathreguppe,4,3200,4,2,120000000
Kasavanhalli,2,1200,2,1,7800000
Sarjapur  Road,2,1233,2,2,7765000
Bannerghatta Road,2,1255,2,2,6526000
Begur Road,2,1200,2,2,3779999
Varthur,3,2145,3,2,17500000
1st Phase JP Nagar,5,1500,5,2,8500000
Kothannur,2,740,2,1,3400000
Kengeri,3,1250,3,3,4800000
Channasandra Layout,2,1210,2,2,4000000
Sarjapur  Road,3,1525,2,2,6000000
Kogilu,1,540,1,0,3600000
Tumkur Road,3,1240,2,1,8400000
Subramanyapura,3,1245,2,1,6800000
HAL 3rd Stage,3,1865,3,3,35000000
Bisuvanahalli,3,1075,2,1,3599000
Nagavara,2,2200,2,1,5500000
Whitefield,2,1155,2,1,6000000
Doctors Layout,2,1520,2,3,6200000
Thigalarapalya,4,3122,6,2,24500000
Harlur,2,1290,2,1,8500000
1st Block HRBR Layout,3,2300,3,2,8000000
Kannamangala,4,3000,4,0,20000000
Austin Town,1,400,1,0,1400000
Banashankari,3,1340,2,3,5360000
Malleshwaram,2,900,2,1,9500000
Rajaji Nagar,6,1800,4,2,32400000
Hennur Road,2,987,2,1,4900000
Old Madras Road,3,1720,3,2,10000000
Hebbal,2,1040,2,1,5000000
Anandapura,2,900,2,0,6400000
Raja Rajeshwari Nagar,2,1030,2,1,5000000
Neeladri Nagar,3,2556,3,2,13300000
Basavangudi,3,1850,3,1,16800000
Kaval Byrasandra,4,750,4,3,11000000
Balagere,2,1028,2,1,3186000
7th Phase JP Nagar,2,1270,2,1,8300000
Sahakara Nagar,3,1655,3,1,11500000
Electronics City Phase 1,2,940,2,1,4000000
Domlur,2,1050,2,2,8500000
Rajagopala Nagar,4,600,4,1,4000000
Vishwapriya Nagar,2,946,2,1,3800000
CV Raman Nagar,3,1726,3,3,14500000
Sarakki Nagar,3,2121,4,3,25300000
Vittasandra,2,1404,2,1,7500000
Sarjapur,3,1525,2,2,4800000
Kengeri,2,1025,2,2,5700000
Bahubali Nagar,5,1575,4,0,15000000
RMV 2nd Stage,2,860,1,1,4300000
Talaghattapura,3,1223,2,1,4281000
Lottegolla Halli,4,3750,3,2,55000000
Kothannur,2,1197,2,1,4780000
Garudachar Palya,2,1150,2,1,5275000
Kodbisanhalli,4,4800,5,3,62900000
R.T. Nagar,2,1040,2,2,4600000
Banashankari,2,1310,2,2,8000000
Uttarahalli,3,1788,3,2,9834000
Raja Rajeshwari Nagar,2,1144,2,2,3854999
Anjanapura,2,1070,2,2,3900000
Nandini Layout,2,1200,2,2,7000000
Ambedkar Nagar,3,1862,3,2,12000000
Margondanahalli,2,1200,2,1,5850000
Begur Road,2,970,2,2,2700000
Kasavanhalli,3,1646,3,2,7950000
Sarjapur  Road,4,4395,4,2,24200000
Vibhutipura Extension,5,1200,4,1,10000000
Iblur Village,3,1995,3,2,13500000
1st Block Jayanagar,4,2400,4,2,45000000
Hosakerehalli,2,1085,2,1,4774000
Budigere,2,1139,2,2,5680000
Haralur Road,2,1092,2,2,4400000
Pattandur Agrahara,3,1767,3,2,9800000
HMT Layout,3,1700,3,2,8000000
Bellandur,3,1692,3,2,8800000
6th Phase JP Nagar,3,1645,3,3,10000000
Uttarahalli,3,1345,2,1,5700000
Basapura,2,1100,2,1,6000000
Gollarapalya Hosahalli,3,1408,3,3,6200000
Banashankari Stage III,4,2400,4,1,24000000
Kadugodi,4,1920,4,2,20000000
Bileshivale,5,6040,4,2,17000000
